Mesh Block,Other scales,Variable,Description,Data type,Aggregation scale
1,,mb_code_2016,City name,text,Mesh Block
2,1,study_region,Mesh Block (ASGS 2016) identifier,text,All scales
3,,mb_category_name_2016,Mesh Block category,text,Mesh Block
4,1,sa1_maincode_2016,Statistical Area 1 (SA1) maincode identifier,text,"Mesh Block, SA1"
5,1,sa2_name_2016,SA2 name,text,"Mesh Block, SA2"
6,1,sa3_name_2016,SA3 name,text,"Mesh Block, SA3"
7,1,sa4_name_2016,SA4 name,text,"Mesh Block, SA4"
8,,gccsa_name_2016,Greater Capital City Statistical Area name,text,Mesh Block
9,,state_name_2016,State name,text,Mesh Block
10,1,ssc_name_2016,Suburb name,text,"Mesh Block, SSC"
11,1,lga_name_2016,LGA name,text,"Mesh Block, LGA"
12,,ucl_name_2016,Urban centre and locality name,text,Mesh Block
13,,sos_name_2016,Section of state name,text,Mesh Block
14,2,dwelling,Dwelling count (Mesh Block dwelling count > 0 was an inclusion criteria for sampling),int,All scales
15,3,person,Person count (persons usually resident),int,All scales
16,4,sample_count,address points in area,int,All scales
17,5,sample_count_per_ha,address point density per hectare,float,All scales
18,6,area_ha,Area in hectares,float,All scales
19,7,dwellings_per_ha,gross dwelling density,float,All scales
,8,net_dwelling,net dwelling density (ie. for areas classified as residential at Mesh Block level),float,All scales larger than Mesh Block
,9,net_area,net area (ie. for areas classified as residential at Mesh Block level),float,All scales larger than Mesh Block
,10,net_density,net density (ie. for areas classified as residential at Mesh Block level),float,All scales larger than Mesh Block
20,11,uli_city,"Average Urban Liveability Index, relative to locations within this city",float,All scales
21,12,uli_national,"Average Urban Liveability Index, relative to locations across Australia's 21 largest cities",float,All scales
22,13,li_community_culture_leisure,"Average score for access to community, culture and leisure destinations (community centre and library within 1000m, and museum/art gallery and cinema/theater within 3200m) (/1)",float,All scales
23,14,li_early_years,Average score for access to child care (any meeting ACECQA recommendations) within 800 metres and childcare (outside school hours meeting recommendations) within 1600 metres (/1),float,All scales
24,15,li_education,Average score for access to primary and secondary public schools within 1600 metres (/1),float,All scales
25,16,li_health_services,"Average score for access to health services (GP, pharmacy, maternal, child and family health care, aged care facility and other community health care) within 1000 metres (/1)",float,All scales
26,17,li_sport_rec,"Average score for access to an area of open space with sport/recreation facilities within 1000 metres, and a public swimming pool within 1200 metres (/1)",float,All scales
